0D60..0D61    ; Grapheme_Base
0D66..0D6F    ; Grapheme_Base
0D82..0D83    ; Grapheme_Base
0D85..0D96    ; Grapheme_Base
0D9A..0DB1    ; Grapheme_Base
0DB3..0DBB    ; Grapheme_Base
0DBD          ; Grapheme_Base
0DC0..0DC6    ; Grapheme_Base
0DD0..0DD1    ; Grapheme_Base
0DD8..0DDE    ; Grapheme_Base
0DF2..0DF3    ; Grapheme_Base
0DF4          ; Grapheme_Base
0E01..0E30    ; Grapheme_Base
0E32..0E33    ; Grapheme_Base
0E3F          ; Grapheme_Base
0E40..0E45    ; Grapheme_Base
0E46          ; Grapheme_Base
0E4F          ; Grapheme_Base
0E50..0E59    ; Grapheme_Base
0E5A..0E5B    ; Grapheme_Base
0E81..0E82    ; Grapheme_Base
0E84          ; Grapheme_Base
0E87..0E88    ; Grapheme_Base
0E8A          ; Grapheme_Base
0E8D          ; Grapheme_Base
0E94..0E97    ; Grapheme_Base
0E99..0E9F    ; Grapheme_Base
0EA1..0EA3    ; Grapheme_Base
0EA5          ; Grapheme_Base
0EA7          ; Grapheme_Base
0EAA..0EAB    ; Grapheme_Base
0EAD..0EB0    ; Grapheme_Base
0EB2..0EB3    ; Grapheme_Base
0EBD          ; Grapheme_Base
0EC0..0EC4    ; Grapheme_Base
0EC6          ; Grapheme_Base
0ED0..0ED9    ; Grapheme_Base
0EDC..0EDD    ; Grapheme_Base
0F00          ; Grapheme_Base
0F01..0F03    ; Grapheme_Base
0F04..0F12    ; Grapheme_Base
0F13..0F17    ; Grapheme_Base
0F1A..0F1F    ; Grapheme_Base
0F20..0F29    ; Grapheme_Base
0F2A..0F33    ; Grapheme_Base
0F34          ; Grapheme_Base
0F36          ; Grapheme_Base
0F38          ; Grapheme_Base
0F3A          ; Grapheme_Base
0F3B          ; Grapheme_Base
0F3C          ; Grapheme_Base
0F3D          ; Grapheme_Base
0F3E..0F3F    ; Grapheme_Base
0F40..0F47    ; Grapheme_Base
0F49..0F6A    ; Grapheme_Base
0F7F          ; Grapheme_Base
0F85          ; Grapheme_Base
0F88..0F8B    ; Grapheme_Base
0FBE..0FC5    ; Grapheme_Base
0FC7..0FCC    ; Grapheme_Base
0FCF          ; Grapheme_Base
1000..1021    ; Grapheme_Base
1023..1027    ; Grapheme_Base
1029..102A    ; Grapheme_Base
102C          ; Grapheme_Base
1031          ; Grapheme_Base
1038          ; Grapheme_Base
1040..1049    ; Grapheme_Base
104A..104F    ; Grapheme_Base
1050..1055    ; Grapheme_Base
1056..1057    ; Grapheme_Base
10A0..10C5    ; Grapheme_Base
10D0..10F8    ; Grapheme_Base
10FB          ; Grapheme_Base
1100..1159    ; Grapheme_Base
115F..11A2    ; Grapheme_Base
11A8..11F9    ; Grapheme_Base
1200..1206    ; Grapheme_Base
1208..1246    ; Grapheme_Base
1248          ; Grapheme_Base
124A..124D    ; Grapheme_Base
1250..1256    ; Grapheme_Base
1258          ; Grapheme_Base
125A..125D    ; Grapheme_Base
1260..1286    ; Grapheme_Base
1288          ; Grapheme_Base
128A..128D    ; Grapheme_Base
1290..12AE    ; Grapheme_Base
12B0          ; Grapheme_Base
12B2..12B5    ; Grapheme_Base
12B8..12BE    ; Grapheme_Base
12C0          ; Grapheme_Base
12C2..12C5    ; Grapheme_Base
12C8..12CE    ; Grapheme_Base
12D0..12D6    ; Grapheme_Base
12D8..12EE    ; Grapheme_Base
12F0..130E    ; Grapheme_Base
1310          ; Grapheme_Base
1312..1315    ; Grapheme_Base
1318..131E    ; Grapheme_Base
1320..1346    ; Grapheme_Base
1348..135A    ; Grapheme_Base
1361..1368    ; Grapheme_Base
1369..1371    ; Grapheme_Base
1372..137C    ; Grapheme_Base
13A0..13F4    ; Grapheme_Base
1401..166C    ; Grapheme_Base
166D..166E    ; Grapheme_Base
166F..1676    ; Grapheme_Base
1680          ; Grapheme_Base
1681..169A    ; Grapheme_Base
169B          ; Grapheme_Base
169C          ; Grapheme_Base
16A0..16EA    ; Grapheme_Base
16EB..16ED    ; Grapheme_Base
16EE..16F0    ; Grapheme_Base
1700..170C    ; Grapheme_Base
170E..1711    ; Grapheme_Base
1720..1731    ; Grapheme_Base
1735..1736    ; Grapheme_Base
